id_producto,productos_descripcion,productos_marca,Carrefour,Coto,Día,Mejor_Precio,Dispersion_Porcentaje
7791293047072,ACOND.REGENERACIÓN EXTREMA DOVE BOT 200 ML,DOVE,5675.0,5674.99,5671.0,5671.0,0.1
7791293045863,ACOND.CREMA BALANCE SEDAL BOT 190 ML,SEDAL,3699.0,3629.99,3630.0,3629.99,1.9
7509552844405,ACOND.REPARADOR GOODBYE DAÑOS GARNIER FRUCTIS BOT 350 ML,GARNIER FRUCTIS,6989.0,7990.99,7990.0,6989.0,14.3
7791293051642,DESOD.CORP.FIG SUEDE DOVE AER 150 ML,DOVE,6934.0,7302.99,5460.0,5460.0,33.8
7791293051666,DESOD.CORP.RASPBERR.ROSE DOVE AER 150 ML,DOVE,6364.0,7302.99,5460.0,5460.0,33.8
7791293051543,DESOD.CORP.WILD ROSE REXONA AER 150 ML,REXONA,5833.0,5740.0,4599.0,4599.0,26.8
7791293047515,ACOND. ÓLEO NUTRICION DOVE BOT 400 ML,DOVE,9499.0,9499.99,5940.0,5940.0,59.9
7509552876482,ACOND.HIDRA EQUILIBRANTE HIALURÓNICO ELVIVE BOT 400 ML,ELVIVE,9989.0,11190.99,6490.0,6490.0,72.4
7509552902341,ACONDIC.HIDRA RELL.C/ACID. HIALURÓNICO ELVIVE BOT 200 ML,ELVIVE,6110.0,6990.99,6990.0,6110.0,14.4
7509552902358,ACONDIC.HIDRA RELL.C/ACID. HIALURÓNICO ELVIVE BOT 400 ML,ELVIVE,9989.0,11190.99,6490.0,6490.0,72.4
7792640007718,ACOND.TRAT.CAID.CABELL.T/TIPO CAPILATIS BOT 420 ML,CAPILATIS,9550.0,10315.99,10591.0,9550.0,10.9
7798140257752,ACONDICIONADOR ENGROSADOR TIO NACHO POU 400 ML,TIO NACHO,6935.0,7300.0,7491.0,6935.0,8.0
7791293049755,ACOND.PREBIOTIC.BIOTINA SEDAL BOT 190 ML,SEDAL,3740.0,3630.99,3630.0,3630.0,3.0
7791293049762,ACOND.PREBIOTIC.BIOTINA SEDAL BOT 340 ML,SEDAL,5425.0,5423.99,5420.0,5420.0,0.1
7791293050355,ACOND.HIDRATACIÓN DOVE BOT 400 ML,DOVE,7275.0,9498.99,5940.0,5940.0,59.9
7509552920871,ACONDICIONADOR OIL REPAIR COCO GARNIER FRUCTIS BOT 350 ML,GARNIER FRUCTIS,5199.0,7990.99,7990.0,5199.0,53.7
7791293050430,ACOND.BOMBA JAZMIN SUAVE BOT 930 ML,SUAVE,4195.0,4193.99,4199.0,4193.99,0.1
7791293050423,ACOND.BOMBA CERAMIDAS SUAVE BOT 930 ML,SUAVE,3544.0,4193.99,4199.0,3544.0,18.5
7509552922233,ACONDICIONADOR REC.NUTRITIVA GARNIER FRUCTIS BOT 350 ML,GARNIER FRUCTIS,5700.0,7990.99,7191.0,5700.0,40.2
7509552922226,ACONDICIONADOR REC.NUTRITIVA GARNIER FRUCTIS BOT 200 ML,GARNIER FRUCTIS,4589.0,5490.99,5490.0,4589.0,19.7
7790290101510,VODKA SERNOVA BOT 700 ML,SERNOVA,12930.0,12200.0,9760.0,9760.0,32.5
7790290101527,VODKA SERNOVA WILD BERRIES BOT 700 ML,SERNOVA,13399.0,13400.0,10720.0,10720.0,25.0
7790310984338,MAICITOS SAB QUESO PEHUAMAR PAQ 125 GRM,PEHUAMAR,3829.0,3600.0,3600.0,3600.0,6.4
7790310984321,RUEDITAS SAB PIZZA PEP PAQ 120 GRM,PEP,3469.0,3350.0,3370.0,3350.0,3.6
7791728247671,VINO MALBEC RESERVA SANTA JULIA BOT 750 ML,SANTA JULIA,9909.0,9908.0,10040.0,9908.0,1.3
7790314079993,VINO MALBEC FINCA MAGNOLIA BOT 750 ML,FINCA MAGNOLIA,5895.0,5835.0,3990.0,3990.0,47.7
7798091030527,CERVEZA ESPIRITU LAGER ANTARES LAT 473 ML,ANTARES,3299.0,3553.0,3550.0,3299.0,7.7
0000075082734,ANTITRANSPIRANTE ORIGINAL DOVE BAR 53 GRM,DOVE,7325.0,6975.99,6980.0,6975.99,5.0
7791293051710,ANTITRANSPIRANTE PROTEC.TOTAL DOVE MEN AER 250 ML,DOVE MEN,7030.0,7528.99,7530.0,7030.0,7.1
7790310985328,PAPAS FRITAS ONDAS FLAMIN HOT LAYS PAQ 70 GRM,LAYS,3549.0,3549.0,3550.0,3549.0,0.0
7896004009155,PAPAS FRITAS SAB.ORIGINAL PRINGLES TUB 104 GRM,PRINGLES,5959.0,5624.0,5650.0,5624.0,6.0
7896004009162,PAPAS FRITAS SAB.CREM.CEBOLLA PRINGLES TUB 109 GRM,PRINGLES,5619.0,5624.0,5650.0,5619.0,0.6
7790524324418,MANÍ FRITO SALADO CROPPERS PAQ 105 GRM,CROPPERS,1268.0,1334.0,1335.0,1268.0,5.3
7790580716707,SNACKS SALADIX JAMON EST 100 GRM,SALADIX,1619.0,1575.0,1722.0,1575.0,9.3
7790580697303,SNACKS SALADIX PIZZA EST 100 GRM,SALADIX,1491.0,1575.0,1722.0,1491.0,15.5
7790040719804,SNACKS REX ORIGINAL PAQ 125 GRM,REX,2309.0,2243.99,2260.0,2243.99,2.9
7622201503987,GALL.DULCES VARIEDAD CHOCOLATE TERRABUSI PAQ 300 GRM,TERRABUSI,3159.0,3193.0,3193.0,3159.0,1.1
7790040143753,GALLET.DUL.RELL.CHOCO COOKIES CHOCOLAT.COFLER PAQ 105.6 GRM,COFLER,3250.0,3250.0,3584.0,3250.0,10.3
7790040143777,GALLET.DUL.RELL.SAB.CHOCO CREAMY COFLER PAQ 85 GRM,COFLER,1210.0,1174.0,1272.0,1174.0,8.3
7790040143692,GALLETAS DULCES CHOCO COOKIES BAÑADAS COFLER PAQ 132.8 GRM,COFLER,3365.0,3413.0,3584.0,3365.0,6.5
7790040143784,GALLET.DUL.RELL.SAB.CHOCOLATE COFLER PAQ 85 GRM,COFLER,1007.0,1174.0,1272.0,1007.0,26.3
7790040143807,GALLET.DUL.RELL.SAB.BON O BON COFLER PAQ 85 GRM,COFLER,1210.0,1228.0,1272.0,1210.0,5.1
7790310983553,PAPAS FRITAS ACANALADAS PEHUAMAR PAQ 230 GRM,PEHUAMAR,6299.0,6299.0,6300.0,6299.0,0.0
7790310985137,CONO SAB.QUESO ORIGINAL 3D PAQ 143 GRM,3D S,5450.0,5186.0,5400.0,5186.0,5.1
7790310985113,CONO SAB.QUESO ORIGINAL 3D PAQ  43 GRM,3D S,2184.0,2300.0,2300.0,2184.0,5.3
7790407031273,CHOCOLATE PARA TAZA AGUILA TAB 150 GRM,AGUILA,8035.0,7800.0,7800.0,7800.0,3.0
